"word","n"
"cared",4
"carpet",4
"casino",4
"centers",4
"centrallylocated",4
"cereal",4
"cha",4
"charges",4
"chromecast",4
"cleanliness",4
"cloisters",4
"cm",4
"cobblestone",4
"colleges",4
"communal",4
"communicate",4
"communication",4
"compared",4
"complex",4
"conditioners",4
"considered",4
"cooked",4
"cotton",4
"count",4
"country",4
"crash",4
"crazy",4
"crowded",4
"crowds",4
"cupboard",4
"cups",4
"cusp",4
"dance",4
"deco",4
"departure",4
"designated",4
"desire",4
"destination",4
"devices",4
"di",4
"dinnerware",4
"discounts",4
"diversity",4
"dominican",4
"download",4
"duane",4
"easier",4
"eastern",4
"eats",4
"eggs",4
"emergency",4
"equip",4
"espresso",4
"ethnic",4
"ev",4
"everyday",4
"exceptional",4
"excitement",4
"exquisite",4
"fairly",4
"fastest",4
"feature",4
"fellow",4
"filmed",4
"finest",4
"fitted",4
"fl",4
"floorthrough",4
"folks",4
"form",4
"frequent",4
"funky",4
"furnitures",4
"games",4
"gap",4
"gems",4
"goal",4
"harlems",4
"hassle",4
"heated",4
"heaters",4
"helpful",4
"hes",4
"highly",4
"homes",4
"hop",4
"hosted",4
"hotspots",4
"hrs",4
"hush",4
"image",4
"immaculate",4
"immersed",4
"industry",4
"infused",4
"invite",4
"jamaica",4
"jog",4
"join",4
"jungle",4
"junior",4
"killer",4
"kitchenware",4
"knowledge",4
"kosher",4
"largest",4
"lcd",4
"levels",4
"livein",4
"loving",4
"m60",4
"magnificent",4
"magnolia",4
"management",4
"marathon",4
"mass",4
"messages",4
"mexican",4
"mini",4
"mix",4
"mixed",4
"mott",4
"mta",4
"named",4
"natuzzi",4
"necessities",4
"neighboring",4
"network",4
"newlyrenovated",4
"nicholas",4
"nomad",4
"nonsmoking",4
"nook",4
"nursery",4
"oriented",4
"outfitted",4
"outstanding",4
"overlook",4
"oversized",4
"owner",4
"packing",4
"paths",4
"picnic",4
"picture",4
"pictured",4
"planet",4
"platform",4
"polished",4
"potspans",4
"pricing",4
"primarily",4
"privileges",4
"pulls",4
"pup",4
"puppy",4
"q3",4
"reached",4
"reade",4
"reason",4
"reasons",4
"refurbished",4
"regular",4
"renovations",4
"reside",4
"respite",4
"resting",4
"restroom",4
"rich",4
"rite",4
"rivington",4
"ro",4
"rockaway",4
"roy",4
"rugs",4
"schedules",4
"schools",4
"serving",4
"sheet",4
"showtime",4
"slippers",4
"soak",4
"son",4
"sonder",4
"sonos",4
"soul",4
"speakeasies",4
"spending",4
"sprawling",4
"stateoftheart",4
"steal",4
"stick",4
"stones",4
"stoop",4
"stovetop",4
"stretch",4
"strong",4
"study",4
"sublet",4
"suggest",4
"suitcase",4
"suitcases",4
"superb",4
"thai",4
"thanksgiving",4
"themed",4
"theyre",4
"thick",4
"thoughtfully",4
"throw",4
"topper",4
"tops",4
"touristic",4
"towers",4
"travelling",4
"trendiest",4
"twinsize",4
"visitor",4
"wa",4
"wait",4
"wake",4
"warner",4
"watching",4
"weekdays",4
"welcomed",4
"westfacing",4
"wholefoods",4
"wilkins",4
"win",4
"workout",4
"worry",4
"worth",4
"yards",4
"yorkers",4
"youtube",4
"youve",4
"zen",4
"00",3
"1000",3
"10minute",3
"110",3
"110th",3
"1200",3
"1215",3
"145th",3
"15mins",3
"19",3
"19th",3
"1min",3
"2018",3
"20mins",3
"20th",3
"25min",3
"29th",3
"2bdr",3
"2minute",3
"36",3
"360",3
"37",3
"3br",3
"3pm",3
"45th",3
"510",3
"57",3
"5minute",3
"63rd",3
"67th",3
"6pm",3
"8min",3
"ability",3
"abyssinian",3
"acbd",3
"accesses",3
"accessibility",3
"accommodating",3
"accommodations",3
"acheat",3
"actors",3
"adjusted",3
"adventures",3
"african",3
"age",3
"airconditioner",3
"allergic",3
"alot",3
"amazingly",3
"antiques",3
"apartement",3
"apartme",3
"apply",3
"april",3
"architectural",3
"arranged",3
"arriving",3
"asap",3
"ashe",3
"austin",3
"avail",3
"average",3
"aware",3
"bad",3
"bagel",3
"bagels",3
"banana",3
"bao",3
"baptist",3
"bare",3
"barrio",3
"based",3
"basket",3
"bdf",3
"bdfm",3
"bdr",3
"beacon",3
"beautifullydecorated",3
"bed1",3
"beddings",3
"bench",3
"benefit",3
"bicycle",3
"bigger",3
"bistros",3
"blanket",3
"bloomingdales",3
"blowup",3
"bookcase",3
"bottled",3
"bottomless",3
"boyfriend",3
"break",3
"bricks",3
"broodthaers",3
"brown",3
"burning",3
"butchers",3
"buzzer",3
"cabinetry",3
"calendar",3
"california",3
"camas",3
"camera",3
"candles",3
"careful",3
"carl",3
"carpeted",3
"carrying",3
"cast",3
"castle",3
"casual",3
"ce",3
"celebrity",3
"charger",3
"chat",3
"cheaper",3
"checkins",3
"cheese",3
"choice",3
"choices",3
"choosing",3
"chose",3
"churches",3
"cinema",3
"cinemas",3
"cities",3
"cl",3
"cleaners",3
"clinton",3
"closeby",3
"closer",3
"coat",3
"coffeemaker",3
"collected",3
"color",3
"colorful",3
"combination",3
"comforter",3
"concept",3
"concern",3
"concerts",3
"condiments",3
"constant",3
"construction",3
"continental",3
"continues",3
"controlled",3
"convent",3
"corona",3
"counters",3
"create",3
"created",3
"creating",3
"credit",3
"crews",3
"cricket",3
"crossroads",3
"curtain",3
"cvs",3
"dakota",3
"dark",3
"date",3
"dcor",3
"decent",3
"dedicated",3
"del",3
"delightful",3
"desires",3
"desks",3
"detail",3
"dim",3
"dine",3
"diner",3
"diningliving",3
"discover",3
"discretion",3
"ditmars",3
"divider",3
"dock",3
"dollar",3
"doorstep",3
"doubles",3
"douglass",3
"dozens",3
"dramatic",3
"draw",3
"dressing",3
"dryers",3
"dynamic",3
"earlylate",3
"earth",3
"ease",3
"eastfacing",3
"easygoing",3
"ef",3
"efficient",3
"electrical",3
"elm",3
"emergencies",3
"employees",3
"enclosed",3
"energetic",3
"enjoyable",3
"entering",3
"entrada",3
"equal",3
"equinox",3
"equiped",3
"equipment",3
"estar",3
"event",3
"exception",3
"excited",3
"exercise",3
"expense",3
"experiencing",3
"extras",3
"eyes",3
"famed",3
"farmers",3
"fifteen",3
"finally",3
"finger",3
"fingertips",3
"fios",3
"fireplaces",3
"firm",3
"fish",3
"floorplan",3
"folds",3
"follow",3
"footsteps",3
"fountain",3
"frederick",3
"frick",3
"fruits",3
"fulllength",3
"functioning",3
"garages",3
"garment",3
"gel",3
"gladly",3
"golden",3
"golf",3
"gracious",3
"graduate",3
"greatly",3
"greeting",3
"guarantee",3
"guitar",3
"gut",3
"hangout",3
"hearth",3
"heaven",3
"heavy",3
"herbs",3
"hide",3
"highway",3
"hilton",3
"hispeed",3
"holds",3
"hospitals",3
"hostel",3
"houses",3
"hr",3
"hubs",3
"husband",3
"ice",3
"ikea",3
"imagine",3
"impeccably",3
"inbuilding",3
"inflatable",3
"inhouse",3
"inout",3
"inquiry",3
"installed",3
"intimate",3
"ipod",3
"irving",3
"issue",3
"jacob",3
"january",3
"july",3
"keurig",3
"keyboard",3
"keycafe",3
"kick",3
"kid",3
"kindly",3
"kingsize",3
"kips",3
"ladder",3
"lamps",3
"land",3
"landing",3
"landmarked",3
"landscaped",3
"launching",3
"leaves",3
"lemony",3
"length",3
"lenox",3
"lgbt",3
"lic",3
"listen",3
"loads",3
"lofted",3
"loftlike",3
"lofty",3
"lovingly",3
"ludlow",3
"lux",3
"luxuries",3
"m15",3
"m7",3
"mac",3
"magic",3
"mail",3
"mailbox",3
"maintenance",3
"male",3
"mansion",3
"mantle",3
"map",3
"marked",3
"marks",3
"marshalls",3
"mate",3
"mats",3
"mature",3
"mbnb",3
"meat",3
"memorable",3
"metal",3
"meticulously",3
"mets",3
"mingle",3
"mixer",3
"model",3
"modernly",3
"moment",3
"money",3
"moroccan",3
"murray",3
"national",3
"navigate",3
"newark",3
"news",3
"nexus",3
"noisy",3
"notice",3
"nr",3
"occasionally",3
"occupies",3
"offered",3
"operated",3
"outdoors",3
"overnight",3
"owneroccupied",3
"package",3
"panoramic",3
"parker",3
"parkway",3
"partial",3
"passes",3
"paying",3
"perched",3
"perishable",3
"permanently",3
"phonetext",3
"photography",3
"pieces",3
"planning",3
"planted",3
"plasma",3
"playroom",3
"plentiful",3
"pools",3
"population",3
"porch",3
"positive",3
"possibly",3
"ppl",3
"premier",3
"prepared",3
"prestigious",3
"prices",3
"primary",3
"privately",3
"progressive",3
"promenade",3
"promise",3
"proper",3
"ps1",3
"quarters",3
"quieter",3
"quipped",3
"radiator",3
"radio",3
"ralph",3
"rated",3
"rea",3
"reading",3
"receives",3
"recliner",3
"refer",3
"refrigeratorfreezer",3
"relaxation",3
"republic",3
"requirement",3
"requires",3
"resort",3
"retail",3
"rise",3
"rises",3
"rm",3
"rock",3
"roomates",3
"roomdining",3
"roomkitchen",3
"rug",3
"sandwiched",3
"sandwiches",3
"sauna",3
"scenic",3
"schurz",3
"sculpture",3
"selfcheckin",3
"sensitive",3
"seventh",3
"shampoos",3
"shelving",3
"shoe",3
"shortterm",3
"showering",3
"showertub",3
"sidewalks",3
"sightings",3
"sign",3
"silent",3
"silver",3
"skip",3
"sky",3
"skyscrapers",3
"smoker",3
"smokers",3
"socrates",3
"sought",3
"spare",3
"sparkling",3
"speak",3
"speaking",3
"specialty",3
"split",3
"starts",3
"stories",3
"stoves",3
"streetfacing",3
"strivers",3
"strolls",3
"suburban",3
"subwaysbuses",3
"subzero",3
"suites",3
"summertime",3
"sunfilled",3
"supplied",3
"supply",3
"support",3
"surprisingly",3
"suspended",3
"tall",3
"tallest",3
"tasteful",3
"taxes",3
"team",3
"technology",3
"terms",3
"terraced",3
"terraces",3
"texts",3
"tha",3
"theatres",3
"thirty",3
"thread",3
"threebedroom",3
"till",3
"tim",3
"tj",3
"tofrom",3
"tranquility",3
"trundle",3
"twenty",3
"umbrellas",3
"unable",3
"uniquely",3
"upbeat",3
"vanity",3
"vaulted",3
"verizon",3
"vinyl",3
"ware",3
"waterfall",3
"wear",3
"wed",3
"wellappointed",3
"wellmaintained",3
"western",3
"windowed",3
"wishes",3
"woodside",3
"wyckoff",3
"xbox",3
"zone",3
"100mbs",2
"108th",2
"10am",2
"10ft",2
"10mins",2
"1100",2
"11th",2
"1232",2
"1300",2
"135",2
"1400",2
"1500",2
"15minute",2
"175th",2
"1800s",2
"1851",2
"1860s",2
"1886",2
"18th",2
"1900",2
"1910",2
"1acdf",2
"1bdr",2
"1bed",2
"1day",2
"1pm",2
"2000",2
"2014",2
"2019",2
"21",2
"21st",2
"26",2
"27",2
"29",2
"3035",2
"30day",2
"33",2
"35mins",2
"3bd",2
"3bedroom",2
"3min",2
"46th",2
"49",2
"495",2
"4pm",2
"51",2
"57th",2
"5mins",2
"65inch",2
"66",2
"6ft",2
"6min",2
"70",2
"70s",2
"711",2
"79th",2
"810",2
"82nd",2
"86",2
"875",2
"90s",2
"9pm",2
"absorbs",2
"abundant",2
"acce",2
"accessories",2
"accommodated",2
"accomodations",2
"acheating",2
"act",2
"activity",2
"actual",2
"ad",2
"addl",2
"adorned",2
"advantage",2
"advertised",2
"affluent",2
"agree",2
"agreed",2
"aibnb",2
"airbnbs",2
"airmattress",2
"al",2
"alcohol",2
"alike",2
"ambience",2
"amenityfilled",2
"america",2
"americans",2
"amidst",2
"amys",2
"ann",2
"answe",2
"antenna",2
"antiguo",2
"apivita",2
"appliance",2
"applicable",2
"appointment",2
"apps",2
"ar",2
"architects",2
"areasthermostats",2
"arent",2
"armchairs",2
"arrangement",2
"arrangements",2
"arrivaldeparture",2
"arthur",2
"artistically",2
"asset",2
"assistant",2
"atc",2
"atrain",2
"attend",2
"attitude",2
"avoid",2
"bake",2
"barber",2
"barnard",2
"barrel",2
"barsrestaurants",2
"baruch",2
"bat",2
"bathed",2
"bayside",2
"bb",2
"bbqs",2
"bderoom",2
"bdrm",2
"beaches",2
"beans",2
"bedrooms2",2
"bedroomsleeps",2
"bedside",2
"beekman",2
"beginning",2
"begins",2
"belongs",2
"bite",2
"bjs",2
"blazing",2
"blk",2
"blocking",2
"bluetooth",2
"boards",2
"boat",2
"bodegas",2
"bodes",2
"boho",2
"bonus",2
"bookshelf",2
"bookshops",2
"bordered",2
"bordering",2
"born",2
"boro",2
"bottles",2
"bowls",2
"boxes",2
"breakfasts",2
"breaking",2
"breathe",2
"breezy",2
"browsing",2
"bull",2
"bureau",2
"burgers",2
"burner",2
"burners",2
"bursting",2
"businesses",2
"butter",2
"cabletv",2
"cada",2
"cafs",2
"calltext",2
"cama",2
"canopy",2
"cap",2
"captivating",2
"carpets",2
"cars",2
"cash",2
"casper",2
"cb",2
"cellar",2
"cental",2
"centered",2
"centerof",2
"cerca",2
"cereals",2
"chance",2
"charismatic",2
"chase",2
"checking",2
"chef",2
"chelseas",2
"chile",2
"chilled",2
"chimney",2
"christmas",2
"christopher",2
"chrome",2
"chromecasts",2
"citarella",2
"citibikes",2
"citifield",2
"clawfoot",2
"cleared",2
"click",2
"clicking",2
"climate",2
"climbing",2
"closetspace",2
"cloudlike",2
"coach",2
"cobbled",2
"cocktail",2
"coliving",2
"colleagues",2
"colonial",2
"combines",2
"comedy",2
"comments",2
"commerce",2
"commitmentfree",2
"commons",2
"communicated",2
"communities",2
"completed",2
"comrooms44461",2
"concert",2
"confortable",2
"conscious",2
"constructed",2
"contacting",2
"contents",2
"continue",2
"convection",2
"conversation",2
"convert",2
"converts",2
"cooks",2
"cooktop",2
"cooler",2
"copy",2
"corridor",2
"costco",2
"countertop",2
"countryside",2
"cover",2
"covered",2
"crackle",2
"crate",2
"craziness",2
"crisp",2
"crossing",2
"crossings",2
"crowd",2
"cuddly",2
"cultures",2
"curated",2
"curfew",2
"current",2
"curved",2
"customer",2
"cutting",2
"cycle",2
"da",2
"daynight",2
"daytime",2
"deals",2
"december",2
"decide",2
"delancey",2
"delays",2
"delight",2
"deliver",2
"delivered",2
"delivery",2
"demand",2
"dense",2
"departamento",2
"department",2
"describe",2
"deskchair",2
"desktop",2
"detailing",2
"detergent",2
"didnt",2
"difficult",2
"difficulty",2
"directv",2
"disabled",2
"disappointed",2
"discounted",2
"discuss",2
"dishesappliances",2
"display",2
"displayed",2
"distinct",2
"dm",2
"doormen",2
"doubt",2
"downtime",2
"drinking",2
"driveway",2
"driving",2
"drmn",2
"drug",2
"dudleys",2
"dvds",2
"ear",2
"earplugs",2
"easiest",2
"eataly",2
"echo",2
"efficiency",2
"electronic",2
"electronics",2
"elegance",2
"elite",2
"emporium",2
"encourage",2
"engaged",2
"ensuring",2
"enters",2
"epicenter",2
"espanol",2
"esquina",2
"essex",2
"established",2
"establishments",2
"europeans",2
"eve",2
"exact",2
"exceptionally",2
"excluding",2
"exit",2
"expansive",2
"expectations",2
"explain",2
"extraordinary",2
"exudes",2
"eye",2
"fabulously",2
"fair",2
"fairway",2
"fanciest",2
"fastpaced",2
"favorites",2
"feast",2
"featured",2
"feb",2
"film",2
"filter",2
"final",2
"finance",2
"finding",2
"fist",2
"fith",2
"fivestory",2
"flash",2
"floo",2
"flow",2
"flywheel",2
"fm",2
"fo",2
"folddown",2
"foodie",2
"footage",2
"fox",2
"foyer",2
"framed",2
"frenchy",2
"friendsfamily",2
"fro",2
"frying",2
"fu",2
"fullest",2
"furnish",2
"futons",2
"gantry",2
"garments",2
"gastronomy",2
"gate",2
"gated",2
"gateway",2
"gatsbyinspired",2
"gentle",2
"gitane",2
"glam",2
"goodenergy",2
"goodies",2
"gospel",2
"gotham",2
"gracie",2
"grad",2
"gray",2
"grew",2
"grilling",2
"grills",2
"grocer",2
"grocerytemples",2
"grounds",2
"guess",2
"guy",2
"ha",2
"habitaciones",2
"habla",2
"halsey",2
"happily",2
"hbogo",2
"hearing",2
"hearty",2
"heatac",2
"heidis",2
"helping",2
"herald",2
"hey",2
"hiend",2
"hifi",2
"highlights",2
"highquality",2
"hippest",2
"hobbies",2
"hold",2
"hole",2
"homebase",2
"homy",2
"honking",2
"houdini",2
"household",2
"housekeeper",2
"housemates",2
"housing",2
"hunt",2
"hygiene",2
"immense",2
"immerse",2
"immigrants",2
"importance",2
"impressive",2
"impressively",2
"inches",2
"incl",2
"incur",2
"independiente",2
"indulge",2
"info",2
"infrequent",2
"innovative",2
"inspiring",2
"institute",2
"intentionally",2
"interacting",2
"interfere",2
"interns",2
"intersections",2
"intrepid",2
"invited",2
"involved",2
"inwall",2
"isolated",2
"italiancrafted",2
"itinerary",2
"jackie",2
"jayden",2
"jersey",2
"jest",2
"jewish",2
"jmz",2
"johns",2
"juice",2
"juicer",2
"jump",2
"june",2
"jz",2
"karaoke",2
"kennedy",2
"kingsized",2
"kitchenbath",2
"km",2
"knives",2
"knowing",2
"korean",2
"koreatown",2
"lake",2
"landlord",2
"landscape",2
"lane",2
"lanes",2
"languages",2
"laser",2
"latino",2
"laurent",2
"leafy",2
"lease",2
"leasing",2
"legal",2
"legendary",2
"lehman",2
"leisurely",2
"letto",2
"lex",2
"lg",2
"lifestyle",2
"lightly",2
"likeminded",2
"limits",2
"limpio",2
"links",2
"liquor",2
"litter",2
"liv",2
"liveready",2
"llave",2
"lockable",2
"locking",2
"loftstyle",2
"lol",2
"los",2
"lose",2
"lotion",2
"loudly",2
"lounging",2
"loves",2
"loveseat",2
"lr",2
"luminous",2
"lunch",2
"lunchdinner",2
"luxe",2
"lying",2
"m11",2
"m14",2
"machines",2
"maid",2
"maintain",2
"makers",2
"maltese",2
"manahattan",2
"mandalas",2
"maps",2
"mat",2
"matcha",2
"matter",2
"matters",2
"maxx",2
"mccarren",2
"meander",2
"measures",2
"med",2
"media",2
"medium",2
"melting",2
"memoryfoam",2
"metres",2
"metronorth",2
"microondas",2
"mid20s",2
"midrise",2
"midst",2
"miele",2
"mike",2
"mint",2
"minuets",2
"mirrors",2
"miss",2
"modest",2
"moldings",2
"monitor",2
"montefiore",2
"mood",2
"ms",2
"mucho",2
"mulberry",2
"multicuisine",2
"multitude",2
"murphy",2
"musician",2
"myriad",2
"myrtle",2
"narrow",2
"nation",2
"navigating",2
"nbc",2
"ne",2
"netflixhulu",2
"newyork",2
"newyorker",2
"nicer",2
"nicest",2
"ninja",2
"nobu",2
"noguchi",2
"noises",2
"noon",2
"noted",2
"noveau",2
"nowadays",2
"nq",2
"occasional",2
"ocean",2
"offs",2
"oils",2
"olympicsize",2
"operates",2
"oriental",2
"outlets",2
"ovenstove",2
"overdue",2
"overhead",2
"overlap",2
"owners",2
"page",2
"painter",2
"paintings",2
"palette",2
"paradise",2
"parents",2
"partner",2
"passing",2
"pastry",2
"patisseries",2
"pedestal",2
"pelham",2
"period",2
"perk",2
"permanent",2
"permission",2
"permitting",2
"perry",2
"personalized",2
"personas",2
"photo",2
"photograph",2
"photographs",2
"pier",2
"pio",2
"pizzeria",2
"plains",2
"planetarium",2
"plans",2
"plate",2
"played",2
"playground",2
"plethora",2
"plugs",2
"poised",2
"police",2
"popeyes",2
"porcelain",2
"portable",2
"ports",2
"post",2
"practice",2
"preferably",2
"presbyterian",2
"presidential",2
"pride",2
"pristine",2
"process",2
"properties",2
"pros",2
"protect",2
"pueden",2
"pulsing",2
"q100",2
"q19",2
"q33",2
"q5",2
"q69",2
"q85",2
"qline",2
"quietness",2
"rail",2
"railway",2
"rainfall",2
"raised",2
"ramen",2
"rapidly",2
"rarity",2
"rating",2
"reasonable",2
"recent",2
"recharge",2
"recommended",2
"record",2
"recreation",2
"recycle",2
"references",2
"reflects",2
"refreshments",2
"refridgerator",2
"refuge",2
"refundable",2
"region",2
"regret",2
"regularly",2
"related",2
"repainted",2
"reputation",2
"requests",2
"reserve",2
"respectable",2
"responsive",2
"restaurantsbars",2
"restricted",2
"result",2
"returning",2
"rick",2
"rides",2
"robinson",2
"rollaway",2
"roller",2
"roomies",2
"roosevelt",2
"route",2
"rue",2
"rule",2
"rush",2
"russian",2
"rustic",2
"safely",2
"saint",2
"saks",2
"salon",2
"salons",2
"savoy",2
"scandinavian",2
"schomberg",2
"schomburg",2
"screening",2
"scrumptious",2
"seamless",2
"search",2
"seguro",2
"selected",2
"selection",2
"sept",2
"serenity",2
"series",2
"serviced",2
"setting",2
"setup",2
"seward",2
"sf",2
"shabby",2
"shanghai",2
"shape",2
"shed",2
"sheer",2
"shes",2
"shiny",2
"sho",2
"showerbath",2
"showings",2
"shown",2
"shutters",2
"sideboard",2
"sidewalk",2
"sightsee",2
"simplify",2
"sin",2
"sizes",2
"skateboarders",2
"skating",2
"skylights",2
"sliding",2
"smartly",2
"snack",2
"soaking",2
"sociable",2
"socializing",2
"society",2
"sofas",2
"sohos",2
"solid",2
"sooo",2
"soothing",2
"sophistication",2
"soughtafter",2
"southern",2
"southfacing",2
"spaceous",2
"span",2
"spared",2
"spice",2
"spiritual",2
"sporting",2
"sports",2
"spotify",2
"squareempire",2
"squeeze",2
"staircase",2
"standing",2
"stars",2
"steakhouse",2
"stored",2
"storied",2
"str",2
"straightener",2
"strategic",2
"strawberry",2
"stretches",2
"striding",2
"structure",2
"studiosized",2
"stylishly",2
"subletting",2
"subscription",2
"sufficient",2
"suited",2
"sunrise",2
"sunsets",2
"superintendent",2
"supper",2
"surprised",2
"survailance",2
"suv",2
"suvs",2
"sweeping",2
"sylvias",2
"tableware",2
"taylor",2
"tear",2
"teas",2
"temporary",2
"tenement",2
"terrific",2
"theological",2
"thompson",2
"thoughtful",2
"thriving",2
"tickets",2
"tiles",2
"tin",2
"tip",2
"todas",2
"tones",2
"toothpaste",2
"topfloor",2
"topoftheline",2
"tot",2
"towering",2
"tr",2
"tracking",2
"trails",2
"traintaxi",2
"transfers",2
"traveled",2
"traveller",2
"treasures",2
"treatment",2
"trips",2
"trucks",2
"trust",2
"tucked",2
"tunes",2
"tus",2
"twinsized",2
"txt",2
"ubers",2
"ubertaxi",2
"ukulele",2
"ultracomfortable",2
"understand",2
"understanding",2
"unequaled",2
"universe",2
"unlike",2
"unobstructed",2
"unoccupied",2
"unusual",2
"upandcoming",2
"upgraded",2
"upload",2
"urge",2
"url",2
"usb",2
"uso",2
"usopen",2
"usual",2
"vacate",2
"vendor",2
"vendors",2
"ventilation",2
"venue",2
"verified",2
"vi",2
"vicinity",2
"vill",2
"virtually",2
"walkaround",2
"walkway",2
"wardrobes",2
"waste",2
"waters",2
"waterview",2
"wcable",2
"wealthy",2
"weekly",2
"wellfurnished",2
"westside",2
"whip",2
"whiteboard",2
"widerange",2
"wishing",2
"wo",2
"woman",2
"wonderfully",2
"woodlawn",2
"woodwork",2
"worn",2
"wrap",2
"wtc",2
"yay",2
"yrs",2
"yum",2
"yummy",2
"zeroedge",2
"zinus",2
"zonas",2
"1000sq",1
"100mb",1
"101",1
"1011002100",1
"1012",1
"101st",1
"1020min",1
"1030",1
"10foot",1
"10mns",1
"10pm",1
"10x13",1
"110thcathedral",1
"111018",1
"111th",1
"112",1
"1130",1
"11375",1
"1150",1
"116",1
"116st",1
"116th",1
"117",1
"117th",1
"11am2pm",1
"120",1
"120yearold",1
"121",1
"122",1
"12345rwjz",1
"123bc",1
"128th",1
"12bathroom",1
"12foot",1
"12minute",1
"12pane",1
"130",1
"135th",1
"137",1
"137191",1
"138",1
"139th",1
"13min",1
"13x14",1
"145",1
"149",1
"14foot",1
"152203",1
"1525mins",1
"1530",1
"15ft",1
"15minutes",1
"161st",1
"164165th",1
"165",1
"1650",1
"168th",1
"169",1
"16ft",1
"16th",1
"179",1
"17th",1
"17thfloor",1
"181",1
"1870s",1
"1881",1
"1895",1
"1898",1
"191",1
"1926",1
"1930s",1
"1937",1
"1950s",1
"1956",1
"1960s",1
"19thcentury",1
"1b1b",1
"1ba",1
"1bath",1
"1bd1",1
"1bdr1bath",1
"1bdrm",1
"1bedroomliving",1
"1bedroomthat",1
"1br1ba",1
"1br1bath",1
"1br1bth",1
"1closet",1
"1mi",1
"1minute",1
"1month",1
"2001",1
"2002",1
"2008",1
"200mbs",1
"200sqfoot",1
"2013",1
"2025",1
"2025mins",1
"20min",1
"20mintues",1
"20minute",1
"20minutes",1
"20something",1
"210",1
"2100pm",1
"210min",1
"22819",1
"22ft",1
